TSA Pre-Check Arrival Times,Regular Pax Arrival Times,ID Check Process Time 1,ID Check Process Time 2,Milimeter Wave Scan times,X-Ray Scan Time,X-Ray Scan Time,Time to get scanned property
11.2,9.1,7.5,14.6,11.3,3.1,3.1,2880
1.3,0.6,5.3,11.8,12.4,1.7,1.7,2700
1.1,1.6,11.1,14.8,3.5,2,2,1680
1.4,1.5,10,20.4,7.5,10.8,10.8,1500
9.6,1.5,9.1,7.7,8.2,2.3,2.3,1320
9.3,1.6,8.8,7.5,12.9,2.1,2.1,1440
20.5,10.9,12.6,10.9,11,16.7,16.7,1020
1.6,30,15.4,,9.1,25.9,25.9,1980
18.6,24.3,11.9,,7.7,1.7,1.7,480
1.7,54.9,,,10.7,9.1,9.1,600
27.3,7.6,,,15.1,,,1560
5.1,3.5,,,11,,,1920
15.4,15.6,,,17,,,1260
22.1,1.5,,,13.4,,,2220
28.2,21.4,,,7.7,,,480
3.3,7.2,,,6.7,,,2400
1.3,2.5,,,11.6,,,1080
2.1,11.5,,,19.4,,,1560
4.9,2.5,,,8.6,,,480
3,57.2,,,37.5,,,1260
1.4,15.9,,,11.3,,,1380
10.1,5.4,,,12.4,,,1680
1.1,11.8,,,12,,,3000
12.8,9.9,,,13.2,,,1680
18.4,30.6,,,11.1,,,2880
24.4,16.6,,,7.3,,,1680
17.9,3.7,,,8.1,,,2160
0.4,19.5,,,14.3,,,1620
1.7,78.9,,,7.1,,,300
0.6,12,,,11,,,
28.4,10,,,9.6,,,
6.6,0.9,,,27.5,,,
23.8,2.5,,,8.6,,,
5.3,1.4,,,9.7,,,
3.9,12,,,11,,,
17.5,2.2,,,9.7,,,
3.2,1.1,,,8.6,,,
4.8,0.7,,,12,,,
34.8,11.2,,,7,,,
0.7,12.8,,,,,,
1.9,8.5,,,,,,
1.2,1.7,,,,,,
16.3,17.4,,,,,,
0.8,21.2,,,,,,
20.1,18.5,,,,,,
9.1,2.6,,,,,,
4.4,,,,,,,
0.7,,,,,,,
0.7,,,,,,,
4.8,,,,,,,
28.9,,,,,,,
6.9,,,,,,,
2.1,,,,,,,
0.8,,,,,,,
1.7,,,,,,,
15.7,,,,,,,
0.9,,,,,,,
